Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,Dividends,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Stock Splits,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,BA,CAT,CVX,GOOGL,GS,JNJ,JPM,KO,MCD,MSFT,NKE,NVDA,PFE,SOFI,TSLA,UNH,WMT,XOM,AAPL,AMZN,BA,CAT,CVX,GOOGL,GS,JNJ,JPM,KO,MCD,MSFT,NKE,NVDA,PFE,SOFI,TSLA,UNH,WMT,XOM,AAPL,AMZN,BA,CAT,CVX,GOOGL,GS,JNJ,JPM,KO,MCD,MSFT,NKE,NVDA,PFE,SOFI,TSLA,UNH,WMT,XOM,AAPL,AMZN,BA,CAT,CVX,GOOGL,GS,JNJ,JPM,KO,MCD,MSFT,NKE,NVDA,PFE,SOFI,TSLA,UNH,WMT,XOM,AAPL,AMZN,BA,CAT,CVX,GOOGL,GS,JNJ,JPM,KO,MCD,MSFT,NKE,NVDA,PFE,SOFI,TSLA,UNH,WMT,XOM,AAPL,AMZN,BA,CAT,CVX,GOOGL,GS,JNJ,JPM,KO,MCD,MSFT,NKE,NVDA,PFE,SOFI,TSLA,UNH,WMT,XOM,AAPL,AMZN,BA,CAT,CVX,GOOGL,GS,JNJ,JPM,KO,MCD,MSFT,NKE,NVDA,PFE,SOFI,TSLA,UNH,WMT,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/1/2024,192.9447479,154.7799988,214.9299927,284.3869019,136.6049042,145.4626923,376.8315735,157.4842072,166.308197,57.80455399,291.3495789,393.5669556,98.86410522,59.63709641,26.67917252,7.920000076,208.8000031,505.0820313,53.48887634,93.62627411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.3777301,157.0500031,217,286.2783972,136.7678811,147.8540174,383.4414739,158.5601446,168.1363995,58.28973574,295.2354222,397.646435,100.0930246,60.31390653,26.97131594,8.329999924,217.8000031,505.6531071,53.67333004,93.89703679,191.3226896,153.8999939,212.3600006,281.8550268,135.0997411,145.3132249,375.4646911,156.3888793,165.9171426,57.67840569,290.695418,390.6686156,98.40203033,59.05326225,26.3210636,7.71999979,206.2700043,488.8462412,53.19572113,92.61090669,191.3625031,156.8899994,213.0700073,281.8550268,136.0488575,146.5686836,377.222107,157.0286291,166.6503808,57.98892172,293.8294904,397.0508824,100.0340389,60.03198494,26.68859667,7.829999924,212.2599945,496.1715529,53.62062844,93.5102298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60133900,43687500,10760800,2072200,9184600,32200400,2922700,6824200,12837500,14314300,3250200,27016900,9897400,452955000,41663900,69046700,117952500,5922900,13938300,19955900
23/1/2024,194.2284546,156.0200043,211.5,284.5444946,136.2214203,146.5088959,371.7643433,154.905838,165.2132263,58.07625198,292.9507751,395.9391785,100.1815109,59.85603333,26.79226112,7.75,209.1399994,507.5730591,53.62392426,94.68032837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.795683,156.2100067,216.8500061,288.5344211,137.4102113,146.6483896,374.2930832,155.5843538,165.9562356,58.22180798,293.1069931,396.4156266,100.4174613,59.89302159,26.99958715,8.140000343,215.6499939,510.0935932,53.64039327,95.25086299,192.8850452,153.9299927,211.1300049,283.2539341,136.0392653,144.9744649,369.6749722,152.0948375,164.6755154,57.69781082,290.0998793,391.0060668,99.52281193,58.56839633,26.52839016,7.730000019,207.75,504.1860857,53.28465656,93.53925175,194.0692462,154.8500061,215.3500061,286.1897294,136.1255592,145.3630557,370.9930491,154.760447,165.8780218,57.76573597,290.4025423,392.8125652,99.91606013,59.55311779,26.80168528,8.100000381,211.3000031,504.5995944,53.39994342,93.61660725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42355600,37986000,9076900,1866300,6767200,21636100,3313300,9149800,8360800,14481600,1874000,20525900,8208000,294654000,33466700,45600700,106605900,2672900,12066600,15863400
24/1/2024,193.5517731,156.8699951,214.1300049,286.3670654,138.9345398,148.1629028,370.4267578,154.0819397,166.6894531,57.16411972,293.3315735,399.572052,99.06073761,61.34460831,26.69801903,7.559999943,207.8300018,505.3183289,52.86633682,96.3145752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.4226125,158.5099945,217.5899963,288.2684221,138.9920593,149.3087582,375.5135271,155.6716118,167.1880496,58.03744844,294.8937233,402.6192726,100.0831995,62.83118637,27.122097,7.940000057,212.7299957,513.6872979,53.71285688,96.36292884,193.3925495,156.4799957,209.3600006,284.0617885,136.3460576,147.5650791,370.2119599,153.3064866,165.0861065,57.144712,292.2283046,397.4777277,98.99191842,59.92101211,26.69801903,7.53000021,206.7700043,505.0426764,52.80704612,94.5159289,194.4672861,157.8000031,209.8300018,286.5246951,136.8062286,148.0034771,372.7797622,154.8476902,165.5749319,58.02774274,292.9019815,398.5596337,100.0635325,60.28690951,26.89592268,7.889999866,211.8800049,509.9163822,53.65686073,95.07679868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53631300,48547300,15119100,2765900,8100000,25233500,2235800,7247900,9967100,16370500,3209700,24867000,7879300,560271000,42720700,41431000,123369900,2918800,22932900,17330600
25/1/2024,193.2233887,157.75,201.8800049,296.307312,142.4338074,151.3214417,373.6487122,154.6634979,169.0749512,57.40670776,290.177948,401.8648987,99.07056427,61.59953308,26.27712822,7.650000095,182.6300049,485.7940369,53.63709641,98.76111603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,195.3131569,158.5099945,208.7299957,298.8096332,142.5488465,152.4971874,377.5638507,154.7216543,169.1238367,57.41640977,294.1809472,403.9890293,100.0242069,62.70122187,26.70758792,7.75,193,487.871526,53.64698007,98.80946967,192.1685588,154.5500031,198.3200073,288.7806862,139.2317441,148.9998558,372.9750291,153.6069509,167.090321,56.92152599,289.0844522,399.5422707,98.40203181,60.83274841,26.2579981,7.550000191,180.0599976,471.6160246,52.83998339,96.33391672,194.2682728,156.9499969,208.1999969,289.6377728,140.1808606,149.5279554,373.6389391,154.1206853,168.4590263,57.26115175,293.6244264,401.3189931,99.81774937,62.33232318,26.61193001,7.659999847,189.6999969,480.0736027,53.16278207,97.00115122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54822100,43638600,22112500,4647100,9773600,29149100,2376300,5478900,8873500,14899700,3219600,21021200,10063700,482777000,47605500,49509400,198076800,14671000,16369500,22089500
26/1/2024,191.4819183,159.1199951,205.4700012,294.9872131,142.9802399,151.6402893,368.8548584,154.6053467,168.4296875,57.61048126,285.3450928,400.9318237,101.0171738,61.01370239,26.27712822,7.619999886,183.25,495.4429626,54.10811996,99.60242462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.8105068,160.7200012,206.75,298.4845582,143.095279,151.989016,371.8912892,155.8072995,169.192254,57.72692755,288.9770782,403.1552179,101.5284009,61.765492,26.69802195,7.829999924,186.7799988,495.9253995,54.14434878,99.6797875,191.0042627,157.9100037,203,294.2286488,140.9094484,150.4645436,367.8394472,154.4696435,167.9408621,57.37759609,284.7983448,399.4429575,99.51297764,60.55583582,26.17190616,7.519999981,182.1000061,482.34797,53.57780948,97.85213195,193.3229053,158.4199982,203.0800018,296.5339255,141.9160843,150.5542301,369.6945041,155.5068002,168.7523141,57.49403868,288.3424335,401.3685603,99.85707356,60.94272337,26.43018015,7.690000057,185.5,485.6758706,53.70626702,98.60640156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44594000,51047400,9911200,2920500,9151900,26115500,3464700,5591900,7443000,13025100,4210500,17803300,9735800,390309000,47073800,72566000,107343200,6212200,15746400,20817200
29/1/2024,190.7952881,161.2599945,205.1900024,298.7505493,142.9227448,152.9555054,371.5593262,154.4696503,168.8696442,57.95981598,285.3938904,406.678894,102.1281128,62.44729614,26.28669357,9.159999847,190.9299927,496.7622986,54.36174393,99.72812653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.262998,161.2899933,207.0399933,299.1938845,143.0569619,153.2245344,371.8327027,155.1578687,168.9771864,58.01803913,285.8332552,406.9369739,102.2559252,62.4712876,26.43017953,9.449999809,191.4799957,498.7019314,54.48361612,99.79581719,188.6557757,158.8999939,203.8500061,293.0366184,141.0341079,150.8830167,365.3887941,154.0819312,167.4716105,57.41641104,281.4885311,401.3288863,99.63094773,60.88973906,26.12407567,8.619999886,183.6699982,493.4245425,53.86108068,98.5000223,191.0739218,159.3399963,206.0599976,294.5833008,142.9323265,151.5107459,366.9997936,154.130385,168.3906047,57.58137478,284.7397594,403.0460564,101.1449773,61.21464389,26.32495747,8.819999695,185.6300049,495.3543198,54.13446854,99.58308036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47145600,45270400,7535400,2101400,10494800,27784300,1632300,6483200,6971200,14547100,3899700,24510200,8860800,348733000,67082700,286380900,125013100,4554100,18240300,18317500
30/1/2024,187.1232758,159,200.4400024,300.2381592,143.9197693,150.9129333,377.7200928,153.8977509,172.3305359,58.12477493,287.6784973,405.5572815,102.4230576,62.7562027,25.84666824,8.399999619,191.5899963,495.8465576,54.5429039,101.3913956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.864955,161.7299957,203.9799957,301.1937681,144.1019243,153.0651199,378.745277,154.8573608,172.8095753,58.24121752,287.9421281,409.9841691,102.5508625,63.47500064,27.13804542,9.399999619,196.3600006,498.2489461,54.61536906,101.4204048,186.5560625,158.4900055,199.1399994,296.0512182,141.6093177,150.6439043,372.5649718,153.2773914,168.9674143,57.68811062,283.3338034,403.4331812,101.3907623,62.24234847,25.77970826,8.380000114,190.6100006,491.5242475,53.89401581,98.73210762,190.009147,160.6999969,203.6499939,296.0512182,142.0598924,152.2480896,374.9179762,154.4599539,168.9674143,58.0762538,285.2279048,409.2000546,101.5972198,62.88217024,26.67888784,9.029999733,195.3300018,496.762244,54.24975248,99.03188691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55859400,45207400,13321200,2150200,9902900,36331800,3897900,7200500,10822100,22061500,2524200,33477600,7542800,410735000,86072400,119356000,109982300,4931200,15270000,19610900
31/1/2024,183.5010223,155.1999969,211.0399933,295.8541565,141.3408661,139.5939636,374.9277344,154.0237427,170.4632111,57.72692871,285.79422,394.6290283,99.81775665,61.50955963,25.90406418,7.829999924,187.2899933,503.8512573,54.4309082,99.41868591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.1878717,159.0099945,213.7700043,301.2134431,144.1690374,143.4798707,384.5935821,155.6909613,174.315158,58.65847682,290.4025455,412.2373773,102.5410465,62.25134988,26.31539193,8.340000153,193.9700012,507.0610124,55.2708428,101.4204042,183.4512782,154.8099976,203.25,295.4797899,141.2545868,139.3647834,374.6250686,153.800805,170.4436539,57.53285526,284.7495291,394.2617794,99.41467496,60.68279439,25.61709226,7.809999943,185.8500061,496.7327307,54.38479573,99.38000448,186.1281514,157,204.9199982,301.036121,144.1594411,143.1012384,376.8706591,155.4777114,172.2620851,58.31884736,288.8989737,403.939412,102.3345814,61.42258249,25.99015612,8.090000153,187,496.7327307,55.2708428,101.2850228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55467800,50284400,22409400,2813000,10428000,71910000,3421100,8256800,11521800,22837000,3476200,47871100,11547600,453795000,81192100,110241400,103221400,5358100,26134800,22415300
